
Thread-1::Middle Reading Current relative path is: D:\Java\JavaConsoleApp
2009 01 16::10:37:00:523 ID = 4 13.553222507140672




2009 01 16::10:37:00:773 ID = 4 13.562254401602136




2009 01 16::10:37:01:023 ID = 4 13.865580012543354




2009 01 16::10:37:01:273 ID = 4 13.873683556425265




2009 01 16::10:37:01:523 ID = 4 13.956271062264713




2009 01 16::10:37:01:773 ID = 4 14.010793347139783




2009 01 16::10:37:02:023 ID = 4 14.547438536761403




2009 01 16::10:37:02:273 ID = 4 14.554057907528861




2009 01 16::10:37:02:523 ID = 4 14.60878345645903




2009 01 16::10:37:02:773 ID = 4 14.648099053337294




2009 01 16::10:37:03:023 ID = 4 14.848827738097881




2009 01 16::10:37:03:273 ID = 4 14.878715973690182




2009 01 16::10:37:03:523 ID = 4 15.230632941324096


Thread-0::End of file reached...

Thread-0::Read file complete, bytes read::6000 bytes written: 6000

Thread-1::Middle Exiting; bytes read: 6000 bytes written: 6000


2009 01 16::10:37:03:773 ID = 4 15.464851081085051




2009 01 16::10:37:04:023 ID = 4 15.716302543849181




2009 01 16::10:37:04:273 ID = 4 15.739052772346284




2009 01 16::10:37:04:538 ID = 4 16.396992431085078




2009 01 16::10:37:04:788 ID = 4 16.552747767790688




2009 01 16::10:37:05:038 ID = 4 16.617000659077906




2009 01 16::10:37:05:288 ID = 4 16.904856604084884




2009 01 16::10:37:05:538 ID = 4 17.142839736019166




2009 01 16::10:37:05:788 ID = 4 17.243105006354575




2009 01 16::10:37:06:038 ID = 4 18.43182290758234




2009 01 16::10:37:06:288 ID = 4 18.46994327931071




2009 01 16::10:37:06:538 ID = 4 18.732115924330117




2009 01 16::10:37:06:788 ID = 4 18.904368426906302




2009 01 16::10:37:07:038 ID = 4 19.289921315568435




2009 01 16::10:37:07:288 ID = 4 19.723061100889282

Thread-2::Sink Exiting; bytes read: 6000
